Wahlkreisnummer,% SPD,% CDU,% Grüne,% FDP,% AfD,% Linke
157,"5,96235031395648%","19,3329444162166%","3,96319087675718%","3,24306692510836%","46,5282874473864%","7,34927893511984%"
158,"9,90981691747705%","19,8755908078448%","12,2475145325148%","3,84744933992503%","27,3738251752051%","13,8230021187592%"
159,"8,49347167648985%","18,0634004584152%","13,0551121480026%","3,55425261951539%","28,6008104125737%","15,8613703339882%"
160,"7,55664944469306%","20,6141599880667%","3,50677352426671%","3,17047041753116%","43,459718210542%","8,00075939411198%"
161,"11,0978603025807%","19,4278424139892%","6,63611276746218%","3,13535700913844%","32,6536130794725%","12,2328845007142%"
162,"8,54770234255461%","21,2180421961539%","3,24911821962976%","3,17225426882269%","41,1193402630615%","7,8042052482993%"
163,"6,59578911163522%","20,6275795990566%","2,2393376572327%","2,94627063679245%","46,1588541666667%","6,97658706761006%"
164,"8,92512794507203%","21,2225343466628%","3,27619454323442%","3,04999699737771%","40,5627581421108%","8,54012504253715%"
165,"8,79986924203016%","21,6084651572649%","3,1524040989781%","2,9079435466678%","40,6060347645646%","7,7722821529584%"
914,"8,45137680519237%","19,7382877278248%","6,50937569445445%","3,24951166839141%","37,2981825385304%","11,3035291810001%"
166,"22,8592562705938%","28,7660547374084%","8,55221572187479%","3,98157487727792%","21,0873512204963%","6,12937932889517%"
167,"22,3338498672181%","22,4571267274602%","14,5305398259146%","3,5934628700466%","15,7604281278623%","12,2896660579632%"
168,"22,1947645811009%","28,4157427048935%","7,25100414780473%","3,82487370700024%","23,2218747494187%","6,25086564465925%"
169,"22,4012627840442%","27,4135946594758%","7,81018777335657%","4,0573514420073%","23,7488901312112%","5,6726626985432%"
170,"20,5468321651991%","26,2892965431593%","12,9454819297006%","3,90405665175947%","18,1806171183966%","10,5733216189614%"
171,"18,8745461389938%","30,1564074852154%","8,79913538719353%","4,06744465627998%","22,7586248770477%","6,63760337101847%"
172,"18,7490831951074%","26,5602608803584%","12,3698137052458%","4,18063031041603%","19,1355517190797%","9,79373300384776%"
173,"12,8389815870384%","37,5669326700522%","7,59721790398544%","4,90378968459599%","23,5787243352794%","5,23082414988312%"
